6.04,6.08,7.28,8.97,6.31,6.91,6.81,7.50,7.37,9.31,7.30,9.24,6.57,7.73,6.65,7.56,19.25,13.73,19.21,13.80,6.46,6.74,196.84
6.06,6.10,7.26,8.94,11.10,6.87,6.58,7.74,7.17,9.11,7.32,9.11,6.59,7.75,6.83,7.60,19.02,13.67,19.56,13.54,6.48,6.79,201.17
6.06,6.25,7.24,9.01,12.06,6.87,6.81,7.56,7.40,9.24,7.49,9.34,6.76,7.52,6.82,7.72,19.16,13.63,19.18,13.54,6.49,6.75,202.92
6.04,6.13,7.28,9.02,6.37,6.94,6.74,7.59,7.45,9.09,7.25,9.01,6.83,7.54,6.71,7.78,19.34,18.63,19.15,13.71,6.31,6.87,201.78
6.06,6.09,7.27,8.69,6.39,6.82,6.73,7.91,7.27,9.12,7.34,9.02,6.59,7.71,6.69,7.55,18.73,13.25,18.68,13.31,6.41,6.74,194.37
6.06,6.10,7.21,8.86,6.44,6.92,6.61,7.80,7.51,8.89,7.20,8.86,6.65,7.62,6.66,7.51,18.78,13.20,18.77,13.36,6.38,6.76,194.15
6.06,6.10,7.18,9.00,6.30,6.88,6.86,7.44,7.27,9.08,7.21,9.04,6.66,7.46,6.84,7.61,18.70,13.44,18.75,13.31,6.31,6.87,194.36
6.06,6.10,7.23,8.90,6.46,6.88,6.56,7.68,7.16,8.68,7.08,8.56,6.62,7.38,6.61,7.34,17.98,12.88,17.98,13.58,6.34,6.95,191.01
6.06,6.09,7.20,9.01,11.25,6.73,6.81,7.85,7.24,9.49,7.30,9.17,6.81,7.70,6.62,7.72,19.48,13.57,19.12,13.65,6.31,6.89,202.06
6.05,6.11,7.24,8.90,6.43,6.79,6.72,7.45,7.30,8.71,7.15,8.63,6.66,7.41,6.54,7.37,17.91,12.84,18.21,12.87,6.36,6.66,190.31
6.06,6.09,7.21,9.00,6.48,6.71,6.68,7.79,7.19,9.11,13.03,9.00,6.74,7.59,6.70,7.72,19.18,13.69,19.22,13.66,6.32,6.88,202.08
6.06,6.07,7.26,8.89,6.49,6.87,6.54,7.68,7.20,8.95,7.39,9.18,6.61,7.70,6.74,7.49,19.27,13.52,19.07,13.63,6.32,7.03,195.96
6.07,6.10,7.27,9.13,6.44,7.38,6.77,7.57,7.79,9.25,7.43,9.39,6.90,7.87,6.81,7.55,19.35,13.96,19.41,13.86,6.29,6.94,199.54
6.05,6.09,7.25,8.95,6.46,6.92,6.68,7.62,7.34,9.43,7.20,9.08,6.80,7.89,6.66,7.70,19.43,13.67,19.35,13.63,6.52,6.85,197.58
6.06,6.10,7.26,9.01,6.42,6.73,6.56,7.36,7.15,8.56,7.21,8.69,6.66,7.40,6.72,7.37,18.21,12.93,18.04,12.96,6.36,6.66,190.41
6.05,6.11,7.16,8.74,6.34,6.72,6.64,7.30,7.08,8.80,12.27,8.75,6.61,7.46,6.73,7.36,17.95,14.00,19.47,13.66,6.57,7.09,198.89
6.06,6.08,7.22,9.00,6.53,6.81,7.20,8.21,7.33,9.86,7.27,10.32,6.84,8.15,6.63,7.89,19.76,14.37,21.13,14.60,6.41,7.02,204.69
6.08,6.06,7.62,8.76,6.31,6.85,6.61,7.37,7.12,8.72,7.10,8.67,11.34,7.35,6.67,7.37,19.10,13.30,18.36,13.38,6.49,6.76,197.41
6.07,6.09,7.15,8.20,6.27,6.55,6.47,7.19,6.91,8.94,7.05,8.61,6.52,7.29,6.50,7.25,17.56,12.60,17.70,13.41,6.28,6.63,187.23
6.03,6.05,7.16,8.51,6.31,6.62,6.52,7.10,7.05,8.42,7.02,8.18,6.51,7.20,6.50,7.17,18.84,13.32,18.64,13.08,6.38,6.87,189.48
6.07,6.09,7.23,9.11,6.35,6.77,6.68,7.36,7.11,8.75,7.18,9.32,6.62,7.67,6.55,7.56,20.03,17.84,21.49,13.06,6.36,6.78,202.00
6.07,6.08,7.16,8.76,6.32,6.93,6.69,7.38,7.43,10.10,7.13,9.21,6.56,9.10,6.65,7.48,20.10,14.34,18.33,12.89,6.37,6.67,197.76
6.06,6.09,7.07,8.63,10.68,6.66,6.61,7.46,7.16,8.68,7.16,8.68,6.66,7.47,6.65,7.50,18.19,12.84,18.01,13.08,6.32,6.80,194.47
6.08,6.09,7.19,8.73,6.34,6.72,6.56,7.58,7.09,8.63,7.12,8.65,6.62,7.39,6.68,7.38,17.92,12.86,18.01,12.88,6.32,6.72,189.59
6.06,6.09,7.14,8.64,6.34,6.78,6.53,7.36,7.09,8.56,7.35,8.55,6.64,7.54,6.59,7.57,17.87,12.81,17.93,12.94,13.52,6.68,196.60
6.05,6.10,7.15,8.65,6.31,6.73,6.59,7.35,7.13,8.77,7.19,8.66,6.53,7.53,6.57,7.50,18.14,14.20,21.60,13.51,6.40,6.77,195.43
6.07,6.09,7.09,8.63,6.39,6.64,6.71,7.67,7.18,9.17,7.34,9.30,6.64,7.74,6.71,7.61,18.74,12.88,18.55,12.90,6.37,6.78,193.20
6.06,6.07,7.11,8.60,10.73,6.71,6.52,7.47,7.29,9.07,7.10,8.78,6.61,7.49,6.63,7.62,18.05,13.73,18.49,12.91,6.36,6.69,196.11
6.07,6.10,7.12,8.67,6.31,6.78,6.50,7.40,7.09,8.70,7.27,8.66,6.61,7.44,6.60,7.35,17.87,12.85,17.93,12.84,6.33,6.73,189.22
6.07,6.13,7.12,8.63,6.34,6.73,6.51,7.37,7.16,8.52,7.24,13.19,6.54,7.41,6.55,7.36,17.83,12.85,17.96,12.94,6.33,6.70,193.47
6.07,6.08,7.13,8.72,6.29,6.81,6.52,7.41,7.11,8.71,7.22,8.60,6.61,7.36,6.61,7.35,17.87,12.89,17.91,12.81,6.31,6.79,189.18
6.07,6.11,7.11,8.66,6.34,6.72,6.53,7.42,7.25,8.78,7.21,8.57,6.63,7.30,6.67,7.31,17.89,12.81,17.83,12.81,6.34,6.70,189.09
6.04,6.06,7.08,8.64,10.80,6.68,6.57,7.47,7.13,8.55,7.08,8.72,6.68,7.39,6.68,7.30,17.85,12.81,17.91,13.11,6.29,6.78,193.67
6.06,6.10,7.11,8.55,6.38,6.65,6.66,7.31,7.08,8.67,7.19,8.78,6.62,7.41,6.66,7.34,17.85,12.80,17.88,12.79,6.36,6.77,188.99
6.05,6.09,7.10,8.66,6.30,6.74,6.64,7.37,7.08,8.65,7.10,8.68,6.63,7.41,6.61,7.53,19.42,13.36,19.96,20.84,6.38,6.75,201.36
6.07,6.09,7.25,8.83,6.30,6.89,6.71,7.34,7.11,8.73,7.15,8.75,6.65,7.42,6.64,7.40,18.26,13.04,18.50,13.06,6.29,7.02,191.50
6.06,6.11,7.12,8.98,6.45,6.73,6.66,7.76,7.21,8.78,7.22,9.31,7.01,7.92,6.68,7.43,18.22,13.04,18.36,14.90,6.31,6.82,195.10
6.08,6.12,7.14,9.04,10.79,6.91,6.56,7.57,7.37,9.09,7.25,9.86,6.61,7.78,6.63,7.61,21.42,14.14,21.73,14.45,6.30,6.84,207.30
